,ds,dv,dt,method,acc
307,MNIST,NotMNIST,TinyImagenet,ScoreSVM/VGG,0.9531999826431274
308,MNIST,CIFAR10,UniformNoise,ScoreSVM/VGG,0.91839998960495
309,MNIST,CIFAR10,NormalNoise,ScoreSVM/VGG,0.9747999906539917
310,MNIST,CIFAR10,FashionMNIST,ScoreSVM/VGG,0.9609999656677246
311,MNIST,CIFAR10,NotMNIST,ScoreSVM/VGG,0.7800149321556091
312,MNIST,CIFAR10,CIFAR100,ScoreSVM/VGG,0.9892999529838562
313,MNIST,CIFAR10,STL10,ScoreSVM/VGG,0.9882500171661377
314,MNIST,CIFAR10,TinyImagenet,ScoreSVM/VGG,0.988599956035614
315,MNIST,CIFAR100,UniformNoise,ScoreSVM/VGG,0.8477999567985535
316,MNIST,CIFAR100,NormalNoise,ScoreSVM/VGG,0.9483000040054321
317,MNIST,CIFAR100,FashionMNIST,ScoreSVM/VGG,0.9571499824523926
318,MNIST,CIFAR100,NotMNIST,ScoreSVM/VGG,0.773979902267456
319,MNIST,CIFAR100,CIFAR10,ScoreSVM/VGG,0.9902499914169312
320,MNIST,CIFAR100,STL10,ScoreSVM/VGG,0.9894375205039978
321,MNIST,CIFAR100,TinyImagenet,ScoreSVM/VGG,0.9896000027656555
322,MNIST,STL10,UniformNoise,ScoreSVM/VGG,0.8771499991416931
323,MNIST,STL10,NormalNoise,ScoreSVM/VGG,0.9583999514579773
324,MNIST,STL10,FashionMNIST,ScoreSVM/VGG,0.9629999995231628
325,MNIST,STL10,NotMNIST,ScoreSVM/VGG,0.7862102389335632
326,MNIST,STL10,CIFAR10,ScoreSVM/VGG,0.9896999597549438
